-6065  41.62  46.71  51.96
-6055  39.87  44.70  49.92
-6045  42.14  46.90  52.61
-6035  46.25  51.47  56.89
-6025  45.09  50.31  55.53
-6015  37.50  41.91  47.23
-6005  30.50  35.01  39.68
-5995  25.22  29.89  34.55
-5985  19.16  23.63  28.20
-5975  17.92  22.17  26.58
-5965  23.92  28.43  33.03
-5955  32.67  37.53  42.56
-5945  41.88  47.06  52.44
-5935  44.38  49.37  54.88
-5925  36.79  41.46  46.45
-5915  28.07  32.74  37.41
-5905  23.79  28.56  33.22
-5895  21.04  25.87  30.34
-5885  22.66  27.23  31.47
-5875  30.21  34.52  39.22
-5865  37.50  41.94  47.13
-5855  39.64  44.67  49.85
-5845  38.38  43.18  48.46
-5835  37.76  42.30  47.55
-5825  38.70  43.89  48.91
-5815  38.09  43.27  48.46
-5805  37.31  42.40  47.58
-5795  37.11  42.04  47.13
-5785  38.09  43.01  48.04
-5775  40.26  45.38  50.57
-5765  43.40  48.65  54.03
-5755  42.43  47.45  52.87
-5745  34.00  38.90  43.73
-5735  23.89  28.20  32.77
-5725  17.93  21.98  26.39
-5715  15.82  19.71  24.21
-5705  20.00  23.89  28.75
-5695  34.26  38.44  43.72
-5685  43.89  48.65  54.00
-5675  36.08  40.91  46.00
-5665  29.50  34.07  38.80
-5655  27.94  32.35  36.76
-5645  24.34  28.85  33.16
-5635  17.73  22.01  26.26
-5625  11.86  15.59  19.81
-5615   9.56  13.55  17.54
-5605  15.75  19.90  24.15
-5595  25.18  29.43  34.03
-5585  29.37  33.78  38.51
-5575  27.68  31.99  36.50
-5565  26.29  30.63  35.30
-5555  28.82  33.39  38.25
-5545  30.31  34.72  39.71
-5535  30.02  34.42  39.19
-5525  30.24  34.65  39.48
-5515  30.95  35.36  40.03
-5505  34.94  39.45  44.21
-5495  36.63  41.10  45.93
-5485  26.97  30.83  35.30
-5475  15.17  18.83  22.89
-5465  11.80  15.85  19.74
-5455  17.53  21.62  25.61
-5445  29.79  34.39  38.93
-5435  39.87  44.70  49.98
-5425  37.08  41.65  46.90
-5415  30.92  35.43  40.45
-5405  29.69  34.36  39.54
-5395  29.56  34.13  39.12
-5385  28.46  32.96  37.73
-5375  29.17  33.84  38.86
-5365  32.06  36.34  41.52
-5355  38.90  43.01  48.30
-5345  42.53  47.36  52.71
-5335  37.12  41.88  46.77
-5325  28.33  32.97  37.38
-5315  18.80  22.85  27.07
-5305  13.10  16.99  20.97
-5295  13.19  17.08  21.62
-5285  19.32  23.40  28.30
-5275  26.77  31.28  35.98
-5265  32.90  37.47  42.46
-5255  33.16  37.76  42.82
-5245  29.21  34.04  39.45
-5235  26.87  31.34  36.17
-5225  23.66  27.91  32.48
-5215  19.38  23.70  27.91
-5205  16.05  20.10  24.08
-5195  16.01  20.00  24.05
-5185  25.25  29.30  33.58
-5175  40.74  45.22  50.04
-5165  47.84  52.90  57.96
-5155  45.31  50.01  55.43
-5145  45.31  50.21  55.43
-5135  49.56  54.26  59.96
-5125  53.06  57.96  63.66
-5115  51.12  55.62  61.33
-5105  49.72  54.59  60.00
-5095  48.75  53.94  59.06
-5085  47.29  52.38  57.73
-5075  43.31  48.23  53.42
-5065  39.55  44.38  49.56
-5055  36.73  41.49  46.48
-5045  34.88  39.51  44.47
-5035  34.62  39.06  44.21
-5025  35.75  40.68  45.44
-5015  35.10  40.03  44.76
